Date,Open,High,Low,Close,Adj Close,Volume
2010-08-16,97.730003,99.010002,97.379997,98.459999,67.824165,603400
2010-08-17,99.360001,102.430000,98.750000,102.330002,70.490005,1393400
2010-08-18,102.419998,102.419998,101.320000,101.470001,69.897606,851500
2010-08-19,101.029999,101.220001,97.720001,98.570000,67.899918,1305300
2010-08-20,97.709999,98.459999,96.800003,97.750000,67.335098,900700
2010-08-23,98.150002,98.620003,97.019997,97.029999,66.839111,569100
2010-08-24,95.739998,97.000000,95.260002,96.089996,66.191574,1097600
2010-08-25,95.870003,98.430000,95.739998,97.959999,67.479752,963800
2010-08-26,98.339996,98.750000,96.639999,97.019997,66.832207,1255800
2010-08-27,97.379997,98.019997,95.489998,97.930000,67.459053,1008300
2010-08-30,97.199997,98.739998,97.199997,97.349998,67.059525,833600
2010-08-31,97.250000,98.389999,96.580002,98.019997,67.521042,1067300
2010-09-01,99.220001,100.820000,98.690002,100.629997,69.318932,1629300
2010-09-02,100.989998,102.489998,100.459999,102.489998,70.600227,1480900
2010-09-03,103.029999,103.620003,102.440002,103.620003,71.378624,1089400
2010-09-07,102.750000,104.269997,102.550003,102.680000,70.731094,1193500
2010-09-08,103.089996,103.660004,102.010002,102.400002,70.538223,1184000
2010-09-09,103.389999,104.160004,100.800003,101.279999,69.766701,695600
2010-09-10,101.629997,102.629997,100.970001,102.160004,70.372894,609900
2010-09-13,103.120003,103.650002,101.370003,103.610001,71.935028,937400
2010-09-14,103.440002,104.129997,102.559998,103.500000,71.858688,804200
2010-09-15,102.930000,104.349998,102.550003,104.129997,72.296074,841100
2010-09-16,103.660004,103.980003,102.800003,103.250000,71.685120,667700
2010-09-17,103.300003,103.900002,102.389999,102.709999,71.310188,1145200
2010-09-20,102.440002,104.059998,101.860001,103.830002,72.087776,1165800
2010-09-21,103.860001,104.120003,100.949997,101.040001,70.150726,1490400
2010-09-22,100.849998,102.010002,100.769997,101.129997,70.213203,1914800
2010-09-23,100.279999,100.910004,97.720001,97.750000,67.866562,1658000
2010-09-24,98.980003,101.160004,98.709999,100.970001,70.102142,1223900
2010-09-27,100.989998,101.000000,98.769997,99.019997,68.748245,933100
2010-09-28,99.959999,99.959999,96.930000,98.360001,68.290031,1695000
2010-09-29,97.650002,97.989998,96.570000,97.019997,67.359695,1073600
2010-09-30,97.959999,98.589996,96.730003,97.040001,67.373581,1713000
2010-10-01,97.750000,98.000000,96.360001,97.980003,68.026222,1130000
2010-10-04,97.629997,98.129997,97.089996,97.470001,67.672134,1221200
2010-10-05,98.379997,99.139999,97.570000,97.980003,68.026222,1886200
2010-10-06,97.449997,97.639999,96.120003,96.349998,66.894516,1622800
2010-10-07,96.940002,97.440002,96.449997,97.129997,67.436066,1185600
2010-10-08,97.360001,97.879997,96.760002,97.669998,67.810982,1060400
2010-10-11,97.849998,98.290001,97.379997,98.290001,68.241447,699700
2010-10-12,98.059998,99.790001,97.739998,99.629997,69.171776,897600
2010-10-13,100.080002,102.089996,99.599998,101.290001,70.324295,1025800
2010-10-14,101.260002,102.930000,101.070000,102.160004,70.928322,1053500
2010-10-15,102.830002,103.129997,100.779999,100.959999,70.095177,887300
2010-10-18,100.589996,101.919998,100.589996,101.919998,70.761703,819700
2010-10-19,100.750000,101.900002,100.110001,100.800003,69.984108,932700
2010-10-20,100.949997,103.199997,100.540001,102.620003,71.247726,894000
2010-10-21,103.220001,103.610001,102.199997,102.860001,71.414314,467300
